Ages;LearnAbilities;InvInChilds;Energies;NumsChildren;HungryThresholds;AgeExpectations;EnergyExpectations;InvInChildExpectations;LearnAbilityExpectations
10;0;0;0;63;0;183;0;147;180
6;0;3;0;14;0;183;0;147;180
10;0;1;1;10;0;183;0;181;180
3;0;178;1;7;0;183;0;181;181
2;0;0;1;12;0;183;1;181;181
1;0;0;1;4;0;183;10;181;181
2;0;0;13;4;0;183;11;181;181
2;0;0;5;6;0;183;11;181;181
5;0;0;2;1;0;183;11;181;181
1;0;0;14;11;0;183;11;182;181
3;0;0;1;8;0;183;12;182;181
4;0;0;4;7;0;183;12;182;182
5;0;0;2;3;0;183;30;182;182
0;0;1;3;5;0;183;30;182;182
2;0;0;4;4;0;183;45;182;182
0;52;0;5;5;0;183;45;182;183
4;0;0;9;4;0;183;45;182;183
1;72;0;8;2;0;183;72;182;183
3;0;0;8;5;0;183;72;182;183
1;4;0;6;3;0;183;123;182;183
2;0;0;2;2;0;183;147;182;182
2;0;0;4;1;0;183;161;182;182
2;0;0;6;0;0;183;175;182;182
3;0;0;3;1;181;183;180;182;182
1;0;0;5;0;0;183;181;183;182
1;18;0;5;0;0;183;181;183;182
3;0;0;10;0;0;183;182;183;182
2;0;0;10;0;0;183;182;183;182
1;10;0;5;0;0;183;182;183;182
1;1;0;3;0;0;183;182;183;182
2;0;0;0;1;0;183;182;183;182
3;0;0;2;0;0;183;182;183;182
2;0;0;3;0;0;183;182;183;182
1;1;0;4;0;0;183;182;183;182
3;0;0;3;0;0;183;182;183;182
1;9;0;3;0;0;183;182;183;167
2;1;0;1;0;0;183;182;183;167
2;0;0;2;0;0;183;182;183;167
4;1;0;2;0;0;183;182;183;167
3;0;0;0;0;0;183;182;183;167
0;0;0;5;0;0;183;182;183;167
2;0;0;1;0;1;183;182;183;167
0;0;0;3;0;0;183;182;183;167
0;0;0;1;0;0;183;182;183;167
3;0;0;5;0;0;183;183;183;167
0;14;0;1;0;0;183;183;183;163
1;0;0;2;0;0;183;183;183;163
5;0;0;0;0;0;183;183;183;163
0;0;0;4;0;1;180;183;183;159
1;0;0;0;0;0;179;183;183;149
1;0;0;0;0;0;178;183;183;0
1;0;0;0;0;0;178;0;0;0
1;0;0;0;0;0;178;0;0;0
3;0;0;0;0;0;177;0;0;0
2;0;0;0;0;0;176;0;0;0
1;0;0;0;0;0;173;0;0;0
1;0;0;0;0;0;172;0;0;0
2;0;0;0;0;0;172;0;0;0
1;0;0;0;0;0;172;0;0;0
2;0;0;0;0;0;171;0;0;0
1;0;0;0;0;0;168;0;0;0
2;0;0;0;0;0;166;0;0;0
1;0;0;0;0;0;165;0;0;0
2;0;0;0;0;0;165;0;0;0
6;0;0;0;0;0;164;0;0;0
0;0;0;0;0;0;164;0;0;0
1;0;0;0;0;0;159;0;0;0
0;0;0;0;0;0;155;0;0;0
1;0;0;0;0;0;152;0;0;0
3;0;0;0;0;0;149;0;0;0
0;0;0;0;0;0;145;0;0;0
3;0;0;0;0;0;143;0;0;0
0;0;0;0;0;0;143;0;0;0
1;0;0;0;0;0;142;0;0;0
1;0;0;0;0;0;138;0;0;0
2;0;0;0;0;0;133;0;0;0
2;0;0;0;0;0;130;0;0;0
2;0;0;0;0;0;126;0;0;0
3;0;0;0;0;0;124;0;0;0
2;0;0;0;0;0;121;0;0;0
1;0;0;0;0;0;119;0;0;0
2;0;0;0;0;0;119;0;0;0
0;0;0;0;0;0;117;0;0;0
1;0;0;0;0;0;114;0;0;0
1;0;0;0;0;0;114;0;0;0
0;0;0;0;0;0;112;0;0;0
1;0;0;0;0;0;108;0;0;0
2;0;0;0;0;0;106;0;0;0
1;0;0;0;0;0;103;0;0;0
2;0;0;0;0;0;101;0;0;0
2;0;0;0;0;0;100;0;0;0
0;0;0;0;0;0;98;0;0;0
1;0;0;0;0;0;98;0;0;0
0;0;0;0;0;0;97;0;0;0
1;0;0;0;0;0;95;0;0;0
1;0;0;0;0;0;93;0;0;0
0;0;0;0;0;0;92;0;0;0
1;0;0;0;0;0;88;0;0;0
0;0;0;0;0;0;87;0;0;0
0;0;0;0;0;0;84;0;0;0
